State,"Baked goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (including corn),Cocoa beans,Cocoa paste and cocoa butter,"Coffee, unroasted",Condiments and sauces,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Dog and cat food,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit - avocados,Fresh fruit - bananas,Fresh fruit - berries,Fresh fruit - other,Fresh vegetables,Fruit and vegetable juices,Industrial alcohols and fatty acids,Live animals,Mfg. tobacco,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseed meal and cake,Oilseeds,Other feeds and grain products,Other livestock products,Other meat products,Planting seeds,Pork and pork products,Poultry products and eggs,Processed fruit and vegetables,Pulses,Raw beet and cane sugar,Rice,Roasted and instant coffee,Spices,"Sugars, sweeteners, bev. bases",Tea,"Tobacco, unmanufactured",Tree nuts,Vegetable oils,Wheat,Wine and related products,Yeast and baking powder
GA,1706583568.0,365007012.0,429261280.0,497447064.0,6778732.0,155020.0,1935516.0,878783140.0,116721588.0,14704717980.0,52414108.0,582125848.0,490336960.0,1750384208.0,1321384.0,14214445096.0,81096180.0,69127032.0,23302248.0,319765988.0,510256372.0,14418912756.0,63118016.0,8877165428.0,82535700.0,16807146312.0,67341496.0,55319520.0,91988296.0,544993164.0,191709168.0,7931788124.0,106746952.0,77973764.0,161113688.0,16012385488.0,35788556.0,1292397144.0,180440488.0,171313944.0,76393700.0,14273803828.0,14377365744.0,4646444.0,423510348.0,3381380292.0,9188.0,495520444.0,98516216.0
HI,96774340.0,50695316.0,39134268.0,2599044.0,0.0,8084.0,65996.0,0.0,26540836.0,68187612.0,2492388.0,34130532.0,979088.0,351884.0,688652.0,39308440.0,0.0,30872.0,2605592.0,7251804.0,5300296.0,53421252.0,118400.0,113406764.0,180816.0,54118348.0,6196968.0,0.0,74464.0,32997000.0,380712.0,113712228.0,2473732.0,7399392.0,7694184.0,122612492.0,1258996.0,0.0,19058308.0,2277560.0,10609640.0,41436480.0,44518764.0,0.0,10847936.0,11429952.0,0.0,23876620.0,25484564.0
IA,234612488.0,147789620.0,407740.0,16394396.0,455937824.0,0.0,2654860.0,294748.0,19842708.0,104216832.0,212239112.0,1261296.0,170026808.0,75507832.0,0.0,93989268.0,0.0,0.0,252632.0,631788.0,44708536.0,96107468.0,62891052.0,1546027924.0,0.0,99385244.0,9970132.0,90945816.0,31701532.0,470814512.0,476276324.0,790605548.0,223321160.0,200364116.0,3427268.0,247046788.0,27000504.0,0.0,12421708.0,4706012.0,30032088.0,140249276.0,108677576.0,0.0,7363172.0,670146772.0,57639144.0,13089540.0,48186728.0
ID,48881832.0,92087140.0,3151380.0,16166848.0,13620232.0,0.0,0.0,183088.0,3690324.0,30336192.0,505988.0,903360.0,11826172.0,11335944.0,0.0,13064988.0,0.0,0.0,625692.0,47556996.0,92355804.0,15481768.0,2621432.0,1154598952.0,2486212.0,14068460.0,13706680.0,166012580.0,5166824.0,103866024.0,102623636.0,1092414928.0,176926168.0,0.0,0.0,335835108.0,2478896.0,0.0,6435876.0,7251612.0,19553144.0,15044020.0,18580144.0,0.0,1221068.0,161464472.0,950400.0,7432604.0,5794752.0
IL,3862583768.0,2384258524.0,17027701920.0,1391591340.0,42904824.0,501056.0,575701148.0,39390540.0,480971212.0,3837481856.0,862816328.0,3750439900.0,1557228312.0,223523396.0,18607732.0,1011177832.0,132589008.0,9778696.0,206740604.0,120731672.0,872627504.0,1224493116.0,151656528.0,51007519588.0,7431140.0,1222106036.0,285795332.0,38667640.0,247977240.0,937703404.0,654986696.0,49542087032.0,651004148.0,794534944.0,253981556.0,3536113796.0,73520072.0,4822060.0,126745080.0,398268404.0,740551844.0,1552605176.0,1036529948.0,26124.0,523293112.0,1154111540.0,908168.0,1477384832.0,595100936.0
IN,1158553040.0,48188112.0,2836364.0,623314588.0,18472748.0,15600.0,13887584.0,5774816.0,136285220.0,858785296.0,110258684.0,595963140.0,216962688.0,145607476.0,3677248.0,677221456.0,0.0,577588.0,7816636.0,7014388.0,192004800.0,708213524.0,16156848.0,8798108884.0,9514360.0,705521612.0,47943304.0,170432156.0,41457752.0,115395876.0,259883464.0,8544063272.0,136826432.0,115707692.0,20463444.0,932055472.0,20270052.0,336800.0,28461932.0,75434844.0,39042020.0,712227924.0,654682612.0,0.0,119289720.0,632857052.0,94940.0,84650536.0,125091700.0
KS,48275052.0,74753172.0,1503880.0,71528148.0,5190644.0,0.0,0.0,213180.0,34083700.0,19676960.0,138770640.0,48590284.0,115010156.0,4051776.0,0.0,12107044.0,0.0,0.0,456840.0,0.0,23165672.0,21993880.0,4165732.0,4523845472.0,3826972.0,19090656.0,8557876.0,40445016.0,12086252.0,672888108.0,276664164.0,4331724872.0,35986788.0,12718300.0,0.0,121070760.0,26910004.0,0.0,12140980.0,1746068.0,3047452.0,96039876.0,16487384.0,43200.0,40304336.0,174744560.0,602152.0,27345308.0,27126636.0
KY,165023120.0,950020.0,1234336.0,102086096.0,79476072.0,3112852.0,775292.0,165852.0,101964420.0,253266160.0,6529080.0,2707646096.0,44072048.0,33152316.0,27905128.0,261250440.0,0.0,0.0,0.0,264408.0,48327540.0,276657480.0,1174036.0,23141538076.0,124206224.0,253948644.0,17717444.0,1205636.0,4372512.0,95364700.0,28084740.0,22971341328.0,40919948.0,3784704.0,8856232.0,346130424.0,23515588.0,0.0,2478488.0,11975720.0,11347688.0,251792380.0,243537920.0,27236500.0,2185512.0,9661832.0,0.0,71743568.0,205646880.0
LA,89468624.0,8526096.0,431576.0,18297272.0,41776248.0,199708.0,967608.0,3230507844.0,9281604.0,32405420.0,310064.0,360548896.0,451480.0,10094076.0,533612.0,7854036.0,0.0,5344912.0,3034104.0,2436028.0,14712580.0,15659636.0,466927820.0,1175407652.0,18816.0,17222120.0,7806880.0,123322952.0,307163924.0,12694808.0,542621028.0,1165421084.0,14746220.0,1896376.0,0.0,194432648.0,5168252.0,0.0,2081364.0,189120564.0,99116796.0,101712872.0,58822764.0,152220.0,6393776.0,3498288952.0,0.0,302590992.0,8393300.0
MA,460194228.0,267196808.0,49400120.0,137774148.0,4546544.0,1466584.0,20457148.0,13321276.0,28543152.0,284411964.0,74343840.0,574296720.0,314764548.0,37912320.0,4770364.0,152978836.0,17605556.0,9215768.0,48123856.0,13262492.0,541186516.0,296788828.0,20341844.0,6246750364.0,1052528.0,166164340.0,227060344.0,3149744.0,40109680.0,179803936.0,133684844.0,6028478052.0,102477248.0,91187480.0,26844108.0,615447768.0,17114284.0,349276.0,8488084.0,123742716.0,23836280.0,218882492.0,170598796.0,248284.0,143045684.0,1317703176.0,16707396.0,1211182976.0,31495100.0
