State,"Baked goods, cereals, and pasta",Beef and beef products,Beer,Chocolate and cocoa products,Coarse grains (including corn),Cocoa beans,Cocoa paste and cocoa butter,"Coffee, unroasted",Condiments and sauces,Dairy products,"Dextrins, peptones, and proteins",Distilled spirits,Dog and cat food,Essential oils,Ethanol (non-bev.),Food preparations,Fresh fruit - avocados,Fresh fruit - bananas,Fresh fruit - berries,Fresh fruit - other,Fresh vegetables,Fruit and vegetable juices,Industrial alcohols and fatty acids,Live animals,Mfg. tobacco,Non-alcoholic bev. (ex. juices),Nursery products and cut flowers,Oilseed meal and cake,Oilseeds,Other feeds and grain products,Other livestock products,Other meat products,Planting seeds,Pork and pork products,Poultry products and eggs,Processed fruit and vegetables,Pulses,Raw beet and cane sugar,Rice,Roasted and instant coffee,Spices,"Sugars, sweeteners, bev. bases",Tea,"Tobacco, unmanufactured",Tree nuts,Vegetable oils,Wheat,Wine and related products,Yeast and baking powder
SC,147692216.0,139951440.0,37349076.0,32889556.0,3469732.0,0.0,9760.0,1895744924.0,11235556.0,347290324.0,36830176.0,287790096.0,95062964.0,4853400.0,713248.0,332337864.0,1359788.0,12651528.0,1048992.0,2613548.0,46696548.0,368789264.0,26616620.0,2221804460.0,44651784.0,337521284.0,24082908.0,3440948.0,22061048.0,177774848.0,185034708.0,1553018348.0,59671856.0,116561252.0,5221580.0,874295168.0,22848368.0,5334280.0,75355100.0,43536808.0,21778264.0,354982444.0,331775512.0,385820.0,71764648.0,156181668.0,7427888.0,248742656.0,23893192.0
SD,13061956.0,1174673812.0,55064.0,7811272.0,20215740.0,0.0,0.0,0.0,932248.0,1878592.0,3297364.0,2779212.0,13079764.0,1323820.0,0.0,651768.0,0.0,0.0,55040.0,0.0,77804.0,1090008.0,365172.0,310101380.0,0.0,2374568.0,326872.0,4822960.0,29648560.0,11832004.0,9808688.0,101035012.0,31310576.0,42758756.0,7604616.0,1605368.0,12026904.0,0.0,411132.0,1139268.0,8740636.0,663860.0,651768.0,0.0,0.0,57400.0,0.0,2374944.0,2263528.0
TN,316535180.0,31678136.0,11304860.0,172252608.0,5122600.0,0.0,370176.0,629984.0,51560476.0,694757368.0,7335692.0,133451184.0,44112472.0,9326336.0,53402032.0,479883268.0,395520.0,702788.0,1111468.0,595908.0,48296192.0,501031684.0,7723720.0,6494527936.0,18964932.0,501390228.0,49506092.0,543288.0,9884744.0,85665120.0,38573556.0,6068518168.0,52339200.0,1748088.0,897600.0,673033944.0,8660308.0,0.0,40088932.0,16813120.0,16118480.0,516335364.0,489431592.0,34791480.0,18440960.0,427473696.0,8606600.0,140748960.0,72524728.0
TX,3536735544.0,2590062920.0,1777287036.0,517172936.0,55427008.0,1850728.0,18817964.0,1490590356.0,930712244.0,1842195220.0,79177272.0,2727288660.0,359892124.0,1223166464.0,567257656.0,956887052.0,2818510104.0,1174292436.0,3707347012.0,3372413772.0,9413653808.0,2082228840.0,548606516.0,30207933800.0,598830508.0,3601338432.0,192451872.0,254027500.0,215792680.0,1113551600.0,781156736.0,27615070052.0,279581144.0,549559540.0,146253304.0,8517740500.0,135292160.0,36654612.0,277607424.0,481126712.0,497352860.0,1781393060.0,885193368.0,13363892.0,3292279360.0,1396621124.0,20816404.0,1766958728.0,897270936.0
UT,213290728.0,165179876.0,204068.0,176139528.0,8296760.0,584240.0,101968.0,47888.0,16866436.0,255634368.0,32543832.0,108688.0,25694944.0,816061460.0,0.0,221127340.0,0.0,1121428.0,650220.0,6604652.0,195790204.0,326435196.0,1033100.0,5184402808.0,0.0,231183984.0,15819908.0,7655228.0,9455692.0,90052428.0,27286884.0,3850257252.0,42815556.0,55771952.0,23494268.0,351393144.0,3453460.0,19468.0,36813376.0,4205672.0,45468600.0,267225404.0,255505984.0,0.0,12603544.0,129222264.0,23130376.0,916096.0,56872132.0
VA,598289516.0,41475168.0,31877428.0,111106156.0,8623356.0,60508172.0,1060044.0,650719840.0,82709000.0,267537360.0,7090976.0,96678672.0,236978592.0,23278380.0,82928.0,73212736.0,0.0,19753456.0,3274400.0,30187968.0,211003328.0,121702428.0,19808208.0,2271163956.0,317521224.0,1721060348.0,392915276.0,35552520.0,317321284.0,133235344.0,89112448.0,1637699160.0,90228392.0,305706632.0,8532220.0,967254144.0,21754216.0,1797348.0,99984064.0,83913192.0,75182328.0,77350864.0,262729912.0,546333712.0,1091353956.0,674373052.0,68593512.0,680167132.0,67731068.0
VI,2143440.0,0.0,23097680.0,30284.0,0.0,0.0,0.0,0.0,230312.0,2925928.0,0.0,48020700.0,0.0,0.0,0.0,121624.0,0.0,0.0,0.0,0.0,108936.0,1326388.0,0.0,3896788.0,14480.0,4918656.0,0.0,0.0,11680.0,1493824.0,13964.0,3774388.0,0.0,0.0,0.0,1526820.0,0.0,0.0,0.0,0.0,0.0,35863324.0,121624.0,0.0,0.0,1031208.0,0.0,11066344.0,230312.0
VT,49249140.0,76235628.0,7266712.0,933972680.0,191722096.0,0.0,46354608.0,7979560.0,2627276.0,97331796.0,11618588.0,21499924.0,40449180.0,1863604.0,1559520.0,55390540.0,0.0,0.0,4813988.0,323924.0,17801584.0,100569692.0,2216444.0,461758356.0,0.0,57844888.0,13438412.0,162002836.0,22759120.0,230606816.0,15382164.0,452297836.0,27739324.0,4249544.0,10980.0,78861124.0,141468.0,0.0,6852208.0,897764.0,300788.0,247790636.0,51982732.0,0.0,1448612.0,12368808.0,1713860.0,28964148.0,6063612.0
WA,689667732.0,603352576.0,124925988.0,178680600.0,16416400.0,489520.0,6820572.0,1167818468.0,116744940.0,700207492.0,73545276.0,248614608.0,344918620.0,132985108.0,16828.0,481830156.0,94733380.0,169721724.0,501089780.0,816554696.0,592193176.0,696445484.0,98393992.0,12148753880.0,709136.0,1058392104.0,239640544.0,245091288.0,54741372.0,780782512.0,976792768.0,10703816672.0,271438652.0,128188540.0,314239816.0,1920431256.0,52290116.0,4240196.0,51889264.0,29005756.0,64966308.0,617429380.0,571372792.0,220352.0,535085700.0,885580528.0,7017412.0,415588708.0,88252336.0
WI,245379940.0,305782600.0,30280944.0,40437424.0,88247244.0,113508.0,92470672.0,13646108.0,39551736.0,793265932.0,104745472.0,147544716.0,105662456.0,76799920.0,32057628.0,336180024.0,0.0,434444.0,1274908.0,6117636.0,275596064.0,359034972.0,14105432.0,3369851784.0,1017712.0,367447756.0,64030812.0,297897412.0,50149060.0,298754048.0,272192584.0,2727046184.0,83829092.0,177870452.0,31373612.0,854102212.0,17148924.0,0.0,31828796.0,181477892.0,109484176.0,440562228.0,377737364.0,0.0,68174968.0,175796228.0,47309908.0,94105100.0,347014300.0
WV,1057892.0,79400.0,694440.0,205504.0,349352.0,0.0,0.0,0.0,77380.0,240992.0,2327212.0,0.0,186044.0,92176.0,0.0,240992.0,0.0,0.0,0.0,0.0,3135148.0,240992.0,2166560.0,803129672.0,0.0,259784.0,2382712.0,48860.0,0.0,4912584.0,714108.0,770778004.0,988800.0,532684.0,0.0,3181476.0,0.0,0.0,0.0,794368.0,1677752.0,299532.0,1927688.0,0.0,31364.0,1013352.0,0.0,17093776.0,53820.0
WY,51265936.0,0.0,597496.0,499028.0,1785176.0,0.0,0.0,0.0,11341544.0,22134804.0,268912.0,258584.0,878848.0,91640.0,0.0,3904400.0,0.0,0.0,1158544.0,886320.0,9446456.0,8494968.0,0.0,209225808.0,0.0,9016464.0,2885948.0,0.0,2171232.0,3504636.0,59701796.0,194110248.0,7470968.0,0.0,0.0,6075704.0,65628.0,260000.0,21684.0,354016.0,1892444.0,4051400.0,4169416.0,0.0,468300.0,1986968.0,0.0,420308.0,9354572.0
XX,176236.0,0.0,109652.0,9988.0,0.0,0.0,8352.0,8736.0,8756.0,52748.0,0.0,0.0,1284112.0,8836.0,0.0,44116.0,0.0,25920.0,162456.0,162456.0,143480.0,35140.0,8620.0,4652016.0,0.0,35140.0,856420.0,0.0,65344.0,1340204.0,29308.0,2055196.0,81472.0,0.0,34740.0,78680.0,0.0,0.0,0.0,8420.0,318684.0,35140.0,43460.0,9120.0,0.0,0.0,0.0,9708.0,8756.0
